id,cell_type,pt_position,pt_root_id,soma_x_nm,soma_y_nm,soma_z_nm
17,e,[103860  44385    891],648518346349540057,415440,415440,4154400
453,e,[84054 50604  1424],648518346349538466,336216,336216,3362160
35,e,[103728  54333    304],648518346349538711,414912,414912,4149120
74,e,[51543 57568   155],648518346349538715,206172,206172,2061720
231,e,[77197 61773   428],648518346349537038,308788,308788,3087880
335,e,[93008 40981  1984],648518346349539103,372032,372032,3720320
239,e,[93551 45577  2058],648518346349539080,374204,374204,3742040
11,e,[65539 51308   977],648518346349539068,262156,262156,2621560
16,e,[100898  43550    891],648518346349536988,403592,403592,4035920
256,e,[58354 72889   369],648518346349536753,233416,233416,2334160
111,e,[77857 63138  1702],648518346349539095,311428,311428,3114280
191,e,[63044 64447   519],648518346349539067,252176,252176,2521760
45,e,[101740  53066    718],648518346349539539,406960,406960,4069600
73,e,[61981 61296   146],648518346349539435,247924,247924,2479240
3,e,[71110 40161  1454],648518346349537081,284440,284440,2844400
123,e,[105199  45412     38],648518346349537145,420796,420796,4207960
4,e,[77264 44133  1231],648518346349531254,309056,309056,3090560
190,e,[63331 67511   255],648518346349539554,253324,253324,2533240
195,e,[54333 63172  2087],648518346349539336,217332,217332,2173320
75,e,[66431 50386   217],648518346349533267,265724,265724,2657240
37,e,[111223  61856   1187],648518346349540051,444892,444892,4448920
7,e,[111812  58145   1498],648518346349537297,447248,447248,4472480
114,e,[68575 50858  1424],648518346349539517,274300,274300,2743000
58,e,[83898 39867  1537],648518346349539333,335592,335592,3355920
439,e,[81245 63448   184],648518346349539368,324980,324980,3249800
148,e,[65140 53444  1846],648518346349539524,260560,260560,2605600
43,e,[94619 48203  1290],648518346349519354,378476,378476,3784760
92,e,[108640  53793   1569],648518346349539804,434560,434560,4345600
172,e,[71531 66259  1276],648518346349539591,286124,286124,2861240
285,e,[48536 46212  2016],648518346349537071,194144,194144,1941440
185,e,[87940 72388  2110],648518346349539569,351760,351760,3517600
60,e,[85972 50578   390],648518346349539575,343888,343888,3438880
14,e,[84503 61821  1239],648518346349539366,338012,338012,3380120
269,e,[96483 70015   156],648518346349537047,385932,385932,3859320
276,e,[97439 64220  2144],648518346349536924,389756,389756,3897560
42,e,[91807 58804   292],648518346349539961,367228,367228,3672280
218,e,[115559  70074   1849],648518346349539510,462236,462236,4622360
71,e,[66182 57698   507],648518346349537547,264728,264728,2647280
12,e,[59368 51231  1053],648518346349537860,237472,237472,2374720
207,e,[57646 38437  2146],648518346349531994,230584,230584,2305840
24,e,[77437 43679   279],648518346349538056,309748,309748,3097480
70,e,[71214 58585   671],648518346349537657,284856,284856,2848560
182,e,[65140 41216  2071],648518346349537984,260560,260560,2605600
189,e,[74256 67937  2045],648518346349537853,297024,297024,2970240
217,e,[101971  69729   1903],648518346349538231,407884,407884,4078840
134,e,[115638  44712   1238],648518346349537007,462552,462552,4625520
147,e,[75247 52245  1825],648518346349537300,300988,300988,3009880
82,e,[56923 42306  1341],648518346349537385,227692,227692,2276920
88,e,[79379 40919  1662],648518346349538718,317516,317516,3175160
253,e,[43444 66948  1954],648518346349538721,173776,173776,1737760
107,e,[98914 61249   425],648518346349537042,395656,395656,3956560
122,e,[52614 46351  1434],648518346349539110,210456,210456,2104560
102,e,[101431  65274    676],648518346349539601,405724,405724,4057240
100,e,[98729 55031   902],648518346349539599,394916,394916,3949160
84,e,[112803  56506   1745],648518346349538005,451212,451212,4512120
91,e,[98689 42498  1546],648518346349537687,394756,394756,3947560
83,e,[54923 46631  1248],648518346349539727,219692,219692,2196920
194,e,[55150 62294  1221],648518346349539836,220600,220600,2206000
106,e,[113619  45201   1702],648518346349538070,454476,454476,4544760
139,e,[83621 72675  1222],648518346349538251,334484,334484,3344840
81,e,[71261 48556  1224],648518346349537913,285044,285044,2850440
142,e,[73438 64866   673],648518346349538033,293752,293752,2937520
198,e,[68245 53158  2111],648518346349537434,272980,272980,2729800
163,e,[85476 51389  1669],648518346349537993,341904,341904,3419040
184,e,[82226 71048  2103],648518346349538259,328904,328904,3289040
186,e,[88123 68746  1976],648518346349537790,352492,352492,3524920
137,e,[95651 53072  1754],648518346349539579,382604,382604,3826040
197,e,[63502 55668  1980],648518346349538239,254008,254008,2540080
113,e,[79647 58292   869],648518346349539593,318588,318588,3185880
110,e,[85459 65630  1872],648518346349531414,341836,341836,3418360
22,e,[97512 47153   721],648518346349539653,390048,390048,3900480
80,e,[79234 49579   769],648518346349538235,316936,316936,3169360
254,e,[52100 67500  1209],648518346349537996,208400,208400,2084000
108,e,[107756  63929   1448],648518346349535847,431024,431024,4310240
136,e,[55887 59103   879],648518346349531526,223548,223548,2235480
109,e,[91334 63425  1739],648518346349537718,365336,365336,3653360
135,e,[113222  62831   1621],648518346349531530,452888,452888,4528880
32,e,[101167  56452    685],648518346349537818,404668,404668,4046680
62,e,[62765 58361  1155],648518346349538365,251060,251060,2510600
193,e,[59821 61637   786],648518346349539598,239284,239284,2392840
133,e,[89544 62477  1420],648518346349539856,358176,358176,3581760
138,e,[99702 46391  1798],648518346349539768,398808,398808,3988080
10,e,[60788 47469   956],648518346349539462,243152,243152,2431520
440,e,[73844 58717  1468],648518346349539572,295376,295376,2953760
49,e,[101597  55229   1412],648518346349539464,406388,406388,4063880
158,e,[94660 66013  1350],648518346349539934,378640,378640,3786400
196,e,[62316 63307  2085],648518346349539390,249264,249264,2492640
455,e,[75110 50367   120],648518346349539803,300440,300440,3004400
98,e,[61868 44290   268],648518346349539594,247472,247472,2474720
221,e,[115615  61790   1972],648518346349532066,462460,462460,4624600
222,e,[118259  64325   2050],648518346349532050,473036,473036,4730360
177,e,[86149 62948   246],648518346349538426,344596,344596,3445960
201,e,[62171 36427  2020],648518346349531192,248684,248684,2486840
160,e,[86798 63278  1940],648518346349539096,347192,347192,3471920
164,e,[89485 44482  1918],648518346349536921,357940,357940,3579400
151,e,[61954 69004  1736],648518346349536929,247816,247816,2478160
156,e,[116377  60923   1471],648518346349503588,465508,465508,4655080
168,e,[76633 49822  2156],648518346349539780,306532,306532,3065320
155,e,[59239 62452  1404],648518346349539755,236956,236956,2369560
213,e,[100744  49336   2146],648518346349537255,402976,402976,4029760
162,e,[82642 70680  1490],648518346349539785,330568,330568,3305680
171,e,[64546 63189  1276],648518346349537242,258184,258184,2581840
167,e,[81058 46020  2016],648518346349539781,324232,324232,3242320
170,e,[56737 45633   955],648518346349537835,226948,226948,2269480
199,e,[70233 48983  1999],648518346349538102,280932,280932,2809320
206,e,[62653 38644  2135],648518346349538317,250612,250612,2506120
188,e,[99099 71071  2152],648518346349537492,396396,396396,3963960
181,e,[63136 44523  2071],648518346349538286,252544,252544,2525440
161,e,[73186 67258  1575],648518346349537513,292744,292744,2927440
174,e,[77051 66052  1202],648518346349538332,308204,308204,3082040
165,e,[89796 41797  1984],648518346349531327,359184,359184,3591840
211,e,[94372 52625  2028],648518346349537991,377488,377488,3774880
166,e,[93051 37990  1934],648518346349531362,372204,372204,3722040
154,e,[60693 65051  1528],648518346349531668,242772,242772,2427720
187,e,[97543 76105  2099],648518346349505739,390172,390172,3901720
159,e,[96021 65020  1776],648518346349531729,384084,384084,3840840
169,e,[87358 46400  2156],648518346349531774,349432,349432,3494320
173,e,[73784 68371  1241],648518346349531834,295136,295136,2951360
178,e,[82871 60834   184],648518346349531851,331484,331484,3314840
216,e,[67737 39522  2156],648518346349492197,270948,270948,2709480
220,e,[108194  73599   2002],648518346349507351,432776,432776,4327760
284,e,[49202 53214  1059],648518346349538462,196808,196808,1968080
290,e,[45998 53455  1689],648518346349530883,183992,183992,1839920
230,e,[51552 42974  1851],648518346349536748,206208,206208,2062080
26,e,[88949 46702    24],648518346349538421,355796,355796,3557960
56,e,[81567 52542  1219],648518346349538440,326268,326268,3262680
234,e,[82704 75115   509],648518346349539513,330816,330816,3308160
